scorer,group,n,mean,sd,median,q25,q75,min,max
EGH,TN,102,0.12844216875500744,0.1653524090587935,0.04498075033646534,0.003111090091456388,0.24682015128543083,3.737823546931315e-07,0.5570446211023868
EGH,FN,48,0.16477653390802172,0.14871048128225478,0.13635587190089055,0.03078950614183428,0.26402141244531874,0.0003697721920648067,0.5126831739115404
EGH,FP,49,0.865518112486169,0.13942307113351227,0.9103628560301215,0.7602049254325709,0.9901263448459343,0.5763590580237999,0.9995450601051096
EGH,TP,101,0.8729718062583124,0.14573902210598924,0.9486716130208402,0.7502787966157504,0.9971326509573928,0.5583101958587429,1.0
Hidden,TN,76,0.02171316540563206,0.031309568159990114,0.006219149818175115,0.0011363639136000908,0.027041220535577754,2.3227167290242025e-06,0.11476635617011563
Hidden,FN,20,0.03571706645985873,0.035637323112389846,0.022412272709256005,0.0017496228382281212,0.05548458261214953,1.2471746902660088e-05,0.1035303869304627
Hidden,FP,75,0.6959906297842529,0.30969887421155534,0.8467885822230002,0.3796416876944848,0.976164584433681,0.1405061080936677,0.9999472330652827
Hidden,TP,129,0.7521660520180703,0.30020311617372264,0.9258111482701248,0.5344888711202397,0.9903731443373823,0.12958998439632516,0.9999943398843667
