scorer,threshold_method,threshold,manifest_auroc,n_total,n_positive,n_negative,tn,fp,fn,tp,sensitivity,specificity,precision,recall,f1,balanced_accuracy
Hidden,youden_j_same_sample_posthoc,0.12958998439632516,0.7188763945064225,300,149,151,76,75,20,129,0.8657718120805369,0.5033112582781457,0.6323529411764706,0.8657718120805369,0.7308781869688386,0.6845415351793414
EGH,youden_j_same_sample_posthoc,0.5583101958587429,0.7138539490644028,300,149,151,102,49,48,101,0.6778523489932886,0.6754966887417219,0.6733333333333333,0.6778523489932886,0.6755852842809364,0.6766745188675052
