task,model,category,category_group,direction,N,pos_rate,auroc_boot_mean,auroc_ci95_lo,auroc_ci95_hi,spearman_rho_boot_mean,spearman_ci95_lo,spearman_ci95_hi,manifest_file,results_file,boot_file
medqa,mistral,egh_emb_diff,scalar_metrics,1.0,1000,0.498,0.535221137938207,0.49946199139186226,0.5705712291396662,0.061358596740407105,-0.0009370340078546658,0.12295777616820719,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,egh_kl,scalar_metrics,-1.0,1000,0.498,0.5452185574969199,0.509367849885598,0.581081697307157,0.0784115415203358,0.016245411109229016,0.14058089114109268,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,egh_ce,scalar_metrics,1.0,1000,0.498,0.5543294504712075,0.5191581065297044,0.5896885350165603,0.09463512552557318,0.03337463790399515,0.15625643401783565,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,egh_entropy,scalar_metrics,1.0,1000,0.498,0.5739884738155809,0.5378278052448839,0.6094903518456295,0.12815267846222705,0.06552006880235815,0.18964403540602728,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,egh_probe_scalar_only,core,1.0,1000,0.425,0.5597414886956521,0.5227081329923273,0.5949415345268543,0.10230484445423871,0.03888674264189575,0.16258346253207065,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,egh_probe_ge,core,1.0,1000,0.425,0.62892470342711,0.5944097186700767,0.6640972890025575,0.22077822390579796,0.16167270901820313,0.2810098054505904,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,egh_grad_norm,scalar_metrics,1.0,1000,0.425,0.5,0.5,0.5,,,,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,egh_emb_diff,scalar_metrics,1.0,1000,0.425,0.5277139179539643,0.4921225063938619,0.5644795907928387,0.047680405149378324,-0.013552204066788389,0.11098575840714574,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,egh_kl,scalar_metrics,-1.0,1000,0.425,0.5511377902813299,0.5156735549872123,0.5877100255754476,0.08834164645786032,0.02709589462826778,0.1515210949495947,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,egh_ce,scalar_metrics,-1.0,1000,0.425,0.5541578528900256,0.5181022506393862,0.5888115089514065,0.0947809971448905,0.03169199597766532,0.15525481932675705,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,egh_entropy,scalar_metrics,1.0,1000,0.425,0.5374181855754475,0.5016899232736574,0.5728914066496164,0.06410674034787583,0.0028950813325479908,0.12487300748983157,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,mistral,egh_probe_scalar_only,core,1.0,1000,0.513,0.546914600670053,0.5107006336283327,0.5829070451625299,0.08123120603917687,0.018527821641834637,0.14355103980049813,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,mistral,egh_probe_ge,core,1.0,1000,0.513,0.7170098746752804,0.685788292885991,0.748670801461788,0.3757459995636343,0.3216868078032175,0.43056599726965067,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,mistral,egh_grad_norm,scalar_metrics,1.0,1000,0.513,0.5,0.5,0.5,,,,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,mistral,egh_emb_diff,scalar_metrics,-1.0,1000,0.513,0.5287133970564101,0.4923097013581181,0.5638053324047055,0.049865024222662514,-0.01335244408984169,0.11080559301098235,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,mistral,egh_kl,scalar_metrics,1.0,1000,0.513,0.5125519951487205,0.47697608583402373,0.5486129123287341,0.021753807590608697,-0.03989947813456649,0.08425142063315824,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,mistral,egh_ce,scalar_metrics,-1.0,1000,0.513,0.5161890990309449,0.4797999447626595,0.5517875083556485,0.02814681415931297,-0.03510276759565428,0.09002867010144902,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,mistral,egh_entropy,scalar_metrics,-1.0,1000,0.513,0.5297031769476165,0.49347483899115807,0.5654067649731217,0.05143080470306999,-0.011298267964604826,0.11325104828564324,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.bootstrap_indices.npz
