task,model,layer,score,direction,auroc,N,pos_rate,results_file
medqa,mistral,4,lntp,1,0.5050500808012928,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_4\medqa_mistral_layer4.B5000.results.jsonl
medqa,mistral,16,lntp,1,0.5050500808012928,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_16\medqa_mistral_layer16.B5000.results.jsonl
medqa,mistral,24,lntp,1,0.5050500808012928,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_24\medqa_mistral_layer24.B5000.results.jsonl
medqa,mistral,32,lntp,1,0.5050500808012928,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_32\medqa_mistral_layer32.B5000.results.jsonl
medqa,mistral,4,mtp,1,0.5083941343061489,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_4\medqa_mistral_layer4.B5000.results.jsonl
medqa,mistral,16,mtp,1,0.5083941343061489,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_16\medqa_mistral_layer16.B5000.results.jsonl
medqa,mistral,24,mtp,1,0.5083941343061489,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_24\medqa_mistral_layer24.B5000.results.jsonl
medqa,mistral,32,mtp,1,0.5083941343061489,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_32\medqa_mistral_layer32.B5000.results.jsonl
pubmedqa,biomistral,4,egh_probe_oof,1,0.6289350383631713,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_4\pubmedqa_biomistral_layer4.B5000.results.jsonl
pubmedqa,biomistral,16,egh_probe_oof,1,0.6289350383631713,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_16\pubmedqa_biomistral_layer16.B5000.results.jsonl
pubmedqa,biomistral,24,egh_probe_oof,1,0.6289350383631713,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_24\pubmedqa_biomistral_layer24.B5000.results.jsonl
pubmedqa,biomistral,32,egh_probe_oof,1,0.6289350383631713,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_32\pubmedqa_biomistral_layer32.B5000.results.jsonl
pubmedqa,biomistral,4,hidden_probe_oof,1,0.5605442455242966,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_4\pubmedqa_biomistral_layer4.B5000.results.jsonl
pubmedqa,biomistral,16,hidden_probe_oof,1,0.6609145780051151,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_16\pubmedqa_biomistral_layer16.B5000.results.jsonl
pubmedqa,biomistral,24,hidden_probe_oof,1,0.6657023017902813,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_24\pubmedqa_biomistral_layer24.B5000.results.jsonl
pubmedqa,biomistral,32,hidden_probe_oof,1,0.6442148337595908,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_32\pubmedqa_biomistral_layer32.B5000.results.jsonl
