task,model,B,score_key,direction,N,pos_rate,auroc_boot_mean,auroc_ci95_lo,auroc_ci95_hi,auroc_ci95_width,auroc_ci95_halfwidth,spearman_boot_mean,spearman_ci95_lo,spearman_ci95_hi,spearman_ci95_width,spearman_ci95_halfwidth,manifest_file,results_file,boot_file
medqa,biomistral,5000,lntp,1.0,1000,0.553,0.5007611474527794,0.4647801699900078,0.536776268148921,0.07199609815891317,0.035998049079456584,0.001311183002063725,-0.060670602761215636,0.06335182091293604,0.12402242367415167,0.062011211837075836,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.manifest.bootstrap_indices.npz
medqa,biomistral,10000,lntp,1.0,1000,0.553,0.5009200140781824,0.465275434785247,0.5373200784009128,0.07204464361566576,0.03602232180783288,0.0015848472313340798,-0.059819488212705475,0.06428722046909208,0.12410670868179755,0.06205335434089877,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.manifest.bootstrap_indices.npz
medqa,biomistral,1000,mtp,1.0,1000,0.553,0.4998377711971714,0.4637210193736827,0.5363579175617236,0.07263689818804087,0.03631844909402043,-0.000279446111850186,-0.06249452810448419,0.06263030354330255,0.12512483164778676,0.06256241582389338,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.manifest.bootstrap_indices.npz
medqa,biomistral,2000,mtp,1.0,1000,0.553,0.5001383879267449,0.4639416989291681,0.5361415363018881,0.07219983737272001,0.036099918686360005,0.00023840388038463416,-0.06211645611375455,0.062258330290921836,0.12437478640467639,0.062187393202338195,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.manifest.bootstrap_indices.npz
medqa,biomistral,5000,mtp,1.0,1000,0.553,0.5007611474527794,0.4647801699900078,0.536776268148921,0.07199609815891317,0.035998049079456584,0.001311183002063725,-0.060670602761215636,0.06335182091293604,0.12402242367415167,0.062011211837075836,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.manifest.bootstrap_indices.npz
medqa,biomistral,10000,mtp,1.0,1000,0.553,0.5009200140781824,0.465275434785247,0.5373200784009128,0.07204464361566576,0.03602232180783288,0.0015848472313340798,-0.059819488212705475,0.06428722046909208,0.12410670868179755,0.06205335434089877,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.manifest.bootstrap_indices.npz
medqa,mistral,1000,egh_probe_oof,1.0,1000,0.498,0.5982403518456295,0.5636356181698907,0.6343534496551944,0.07071783148530364,0.03535891574265182,0.17015634468985724,0.11021951508264426,0.23270569324531615,0.12248617816267189,0.061243089081335945,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_1000\medqa_mistral_B1000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_1000\medqa_mistral_B1000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_1000\medqa_mistral_B1000.manifest.bootstrap_indices.npz
medqa,mistral,2000,egh_probe_oof,1.0,1000,0.498,0.5981937971007536,0.5632660122561961,0.633871241939871,0.07060522968367489,0.03530261484183744,0.17007571041592784,0.10957934146950361,0.23187053445541914,0.12229119298591552,0.06114559649295776,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_2000\medqa_mistral_B2000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_2000\medqa_mistral_B2000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_2000\medqa_mistral_B2000.manifest.bootstrap_indices.npz
medqa,mistral,5000,egh_probe_oof,1.0,1000,0.498,0.5980336709387349,0.5622367957887326,0.6341342461479383,0.0718974503592057,0.03594872517960285,0.16979836507468085,0.1077967118163903,0.2323261016174188,0.12452938980102848,0.06226469490051424,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_5000\medqa_mistral_B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_5000\medqa_mistral_B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_5000\medqa_mistral_B5000.manifest.bootstrap_indices.npz
medqa,mistral,10000,egh_probe_oof,1.0,1000,0.498,0.5981213591417461,0.5626267020272324,0.634043044688715,0.07141634266148256,0.03570817133074128,0.1699502447077704,0.10847203614964483,0.2321680720309418,0.12369603588129698,0.06184801794064849,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_10000\medqa_mistral_B10000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_10000\medqa_mistral_B10000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_10000\medqa_mistral_B10000.manifest.bootstrap_indices.npz
medqa,mistral,1000,hidden_probe_oof,1.0,1000,0.498,0.5746436342981488,0.53726559624954,0.6098559576953231,0.07259036144578312,0.03629518072289156,0.12928585510831156,0.0645455692969831,0.190275082985508,0.1257295136885249,0.06286475684426245,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_1000\medqa_mistral_B1000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_1000\medqa_mistral_B1000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_1000\medqa_mistral_B1000.manifest.bootstrap_indices.npz
medqa,mistral,2000,hidden_probe_oof,1.0,1000,0.498,0.5746146678346853,0.5377040032640523,0.6081740307844927,0.0704700275204404,0.0352350137602202,0.12923568423031173,0.06530489573524689,0.1873618405629178,0.1220569448276709,0.06102847241383545,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_2000\medqa_mistral_B2000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_2000\medqa_mistral_B2000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_2000\medqa_mistral_B2000.manifest.bootstrap_indices.npz
medqa,mistral,5000,hidden_probe_oof,1.0,1000,0.498,0.574861364181827,0.5388777220435528,0.6094223507576121,0.07054462871405931,0.035272314357029655,0.12966297240619415,0.06733781307907721,0.18952401357989423,0.12218620050081702,0.06109310025040851,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_5000\medqa_mistral_B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_5000\medqa_mistral_B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_5000\medqa_mistral_B5000.manifest.bootstrap_indices.npz
medqa,mistral,10000,hidden_probe_oof,1.0,1000,0.498,0.574930770492328,0.5391466263460216,0.6105537688603018,0.07140714251428015,0.035703571257140077,0.12978318700723307,0.06780356373586378,0.1914836574427725,0.1236800937069087,0.06184004685345435,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_10000\medqa_mistral_B10000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_10000\medqa_mistral_B10000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_10000\medqa_mistral_B10000.manifest.bootstrap_indices.npz
medqa,mistral,1000,lntp,1.0,1000,0.498,0.5049244647914367,0.47012852205635297,0.5391403262452199,0.06901180418886693,0.034505902094433466,0.008529926491368297,-0.05174162247586704,0.06779723911045447,0.11953886158632152,0.05976943079316076,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_1000\medqa_mistral_B1000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_1000\medqa_mistral_B1000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_1000\medqa_mistral_B1000.manifest.bootstrap_indices.npz
medqa,mistral,2000,lntp,1.0,1000,0.498,0.5050647650362406,0.47012852205635297,0.5400734411750587,0.06994491911870576,0.03497245955935288,0.008772951308585186,-0.05174162247586704,0.06941346458369647,0.12115508705956352,0.06057754352978176,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_2000\medqa_mistral_B2000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_2000\medqa_mistral_B2000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_mistral\B_2000\medqa_mistral_B2000.manifest.bootstrap_indices.npz
