task,model,score_key,delta_auroc_boot_mean,delta_auroc_ci95_lo,delta_auroc_ci95_hi,delta_auroc_sig_pos,delta_spearman_boot_mean,delta_spearman_ci95_lo,delta_spearman_ci95_hi,delta_spearman_sig_pos
medqa,biomistral,egh_probe_oof,0.06656133678006076,0.030298230922646902,0.10206975577589796,True,0.11463838764109102,0.052182547296367954,0.17579440349773698,True
medqa,biomistral,hidden_probe_oof,0.014711322823241942,-0.020966681634849146,0.05055574434344282,False,0.025337266625731818,-0.036110850523753256,0.08707200833195675,False
medqa,biomistral,lntp,0.0007611474527794276,-0.0352198300099922,0.036776268148921015,False,0.001311183002063725,-0.060670602761215636,0.06335182091293604,False
medqa,biomistral,mtp,0.0007611474527794276,-0.0352198300099922,0.036776268148921015,False,0.001311183002063725,-0.060670602761215636,0.06335182091293604,False
medqa,mistral,egh_probe_oof,0.09803367093873501,0.0622367957887326,0.1341342461479383,True,0.16979836507468085,0.1077967118163903,0.2323261016174188,True
medqa,mistral,hidden_probe_oof,0.0748613641818269,0.038877722043552734,0.10942235075761211,True,0.12966297240619415,0.06733781307907721,0.18952401357989423,True
medqa,mistral,lntp,0.004890319845117516,-0.030715191443063068,0.04074920198723172,False,0.00847078583861797,-0.053203763069960136,0.07058402467167355,False
medqa,mistral,mtp,0.008256796108737734,-0.027517040272644382,0.04442541080657288,False,0.014302035236154422,-0.04766366645930855,0.0769516604905425,False
pubmedqa,biomistral,egh_probe_oof,0.12892470342710996,0.09440971867007676,0.16409728900255752,True,0.22077822390579796,0.16167270901820313,0.2810098054505904,True
pubmedqa,biomistral,hidden_probe_oof,0.16121607365728902,0.1267293094629157,0.19546854219948837,True,0.2760758602119755,0.2170187351260236,0.33473177407700955,True
pubmedqa,biomistral,lntp,0.09885077565217393,0.06379370843989768,0.13449058823529408,True,0.16930456538605812,0.10926186347787527,0.23034903420772188,True
pubmedqa,biomistral,mtp,0.09885077565217393,0.06379370843989768,0.13449058823529408,True,0.16930456538605812,0.10926186347787527,0.23034903420772188,True
pubmedqa,mistral,egh_probe_oof,0.2170098746752805,0.18578829288599097,0.24867080146178802,True,0.3757459995636343,0.3216868078032175,0.43056599726965067,True
pubmedqa,mistral,hidden_probe_oof,0.1865352922575661,0.15322027690718937,0.21946776020589912,True,0.32298018676266166,0.26529622643641354,0.3800018245723876,True
pubmedqa,mistral,lntp,0.21269940880034902,0.1805072228826687,0.2441522969527398,True,0.3683127307825346,0.3125693630297912,0.4227740245798434,True
pubmedqa,mistral,mtp,0.21269940880034902,0.1805072228826687,0.2441522969527398,True,0.3683127307825346,0.3125693630297912,0.4227740245798434,True
